  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,GST @12%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","South","MSFT Hyd",2025-05-08,"TAKEAWAY",860.00,1,74356.64,0.00,0.00,74356.64,3717.83,0,0,3717.83,78074.47,0.00,78074.47,1.00,
"-","-","South","MSFT Hyd",2025-05-10,"TAKEAWAY",870.00,1,77135.08,0.00,0.00,77135.08,3856.75,0,0,3856.75,80991.83,0.00,80991.83,1.00,
"-","-","South","MSFT Hyd",2025-05-12,"TAKEAWAY",519.00,21,47791.00,0.00,0.00,47791.00,2389.60,0,0,2389.60,50180.60,0.00,50180.60,21.00,
"-","-","South","MSFT Hyd",2025-05-13,"TAKEAWAY",541.00,109,50409.01,6344.60,0.00,44064.41,2203.24,0.00,0.00,2203.24,46267.65,0.00,46267.65,109.00,
"-","-","South","MSFT Hyd",2025-05-13,"DINE IN",77.00,4,6168.95,0.00,0.00,6168.95,308.45,0,0,308.45,6477.40,0.00,6477.40,2.00,
"-","-","South","MSFT Hyd",2025-05-14,"DINE IN",40.00,19,3281.95,0.00,0.00,3281.95,164.10,0,0,164.10,3446.05,0.00,3446.05,0.00,
"-","-","South","MSFT Hyd",2025-05-14,"TAKEAWAY",456.00,190,40521.87,0.00,0.00,40521.87,2026.13,0,0,2026.13,42548.00,-0.00,42548.00,0.00,
"-","-","South","MSFT Hyd",2025-05-15,"DINE IN",5.00,2,190.00,0.00,0.00,190.00,9.50,0,0,9.50,199.50,0.00,199.50,0.00,
"-","-","South","MSFT Hyd",2025-05-15,"TAKEAWAY",534.00,162,49108.91,0.00,0.00,49108.91,2455.49,0,0,2455.49,51564.40,0.00,51564.40,0.00,
"-","-","South","MSFT Hyd",2025-05-16,"DINE IN",4.00,3,180.95,0.00,0.00,180.95,9.05,0,0,9.05,190.00,0.00,190.00,0.00,
"-","-","South","MSFT Hyd",2025-05-16,"TAKEAWAY",779.00,156,69959.15,0.00,0.00,69959.15,3498.00,0,0,3498.00,73457.15,0.00,73457.15,0.00,
"-","-","South","MSFT Hyd",2025-05-19,"DINE IN",8.00,4,210.00,0.00,0.00,210.00,10.50,0,0,10.50,220.50,0.00,220.50,0.00,
"-","-","South","MSFT Hyd",2025-05-19,"TAKEAWAY",410.00,162,34955.55,0.00,0.00,34955.55,1747.80,0,0,1747.80,36703.35,-0.00,36703.35,0.00,
"-","-","South","MSFT Hyd",2025-05-20,"DINE IN",15.00,9,677.00,0.00,0.00,677.00,33.85,0,0,33.85,710.85,-0.00,710.85,0.00,
"-","-","South","MSFT Hyd",2025-05-20,"TAKEAWAY",445.00,173,40331.80,0.00,0.00,40331.80,2016.60,0,0,2016.60,42348.40,0.00,42348.40,0.00,
"-","-","South","MSFT Hyd",2025-05-21,"DINE IN",16.00,12,484.00,0.00,0.00,484.00,24.20,0,0,24.20,508.20,0.00,508.20,0.00,
"-","-","South","MSFT Hyd",2025-05-21,"TAKEAWAY",480.00,176,44497.24,0.00,0.00,44497.24,2224.91,0,0,2224.91,46722.15,-0.00,46722.15,0.00,
"-","-","South","MSFT Hyd",2025-05-22,"DINE IN",21.00,12,525.00,0.00,0.00,525.00,26.25,0,0,26.25,551.25,0.00,551.25,0.00,
"-","-","South","MSFT Hyd",2025-05-22,"TAKEAWAY",455.00,123,43422.34,0.00,0.00,43422.34,2171.16,0,0,2171.16,45593.50,-0.00,45593.50,0.00,
"-","-","South","MSFT Hyd",2025-05-23,"DINE IN",53.00,21,3956.90,0.00,0.00,3956.90,197.85,0,0,197.85,4154.75,0.00,4154.75,0.00,
"-","-","South","MSFT Hyd",2025-05-23,"TAKEAWAY",573.00,281,54733.85,0.00,0.00,54733.85,2736.74,0,0,2736.74,57470.59,-0.00,57470.59,0.00,
"-","-","South","MSFT Hyd",2025-05-26,"DINE IN",14.00,10,160.00,0.00,0.00,160.00,8.00,0,0,8.00,168.00,0.00,168.00,0.00,
"-","-","South","MSFT Hyd",2025-05-26,"TAKEAWAY",387.00,179,32883.65,0.00,0.00,32883.65,1644.20,0,0,1644.20,34527.85,0.00,34527.85,0.00,
"-","-","South","MSFT Hyd",2025-05-27,"DINE IN",8.00,5,306.00,0.00,0.00,306.00,15.30,0,0,15.30,321.30,0.00,321.30,0.00,
"-","-","South","MSFT Hyd",2025-05-27,"TAKEAWAY",394.00,183,35846.87,0.00,0.00,35846.87,1792.38,0,0,1792.38,37639.25,0.00,37639.25,0.00,
"-","-","South","MSFT Hyd",2025-05-28,"DINE IN",5.00,3,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-05-28,"TAKEAWAY",552.00,269,48670.99,0.00,0.00,48670.99,2433.61,0,0,2433.61,51104.60,-0.00,51104.60,0.00,
"-","-","South","MSFT Hyd",2025-05-29,"DINE IN",7.00,5,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-05-29,"TAKEAWAY",504.00,241,43318.52,0.00,0.00,43318.52,2166.03,0,0,2166.03,45484.55,-0.00,45484.55,0.00,
"-","-","South","MSFT Hyd",2025-05-30,"DINE IN",11.00,7,330.48,0.00,0.00,330.48,16.52,0,0,16.52,347.00,0.00,347.00,0.00,
"-","-","South","MSFT Hyd",2025-05-30,"TAKEAWAY",555.00,270,47570.01,0.00,0.00,47570.01,2378.44,0,0,2378.44,49948.45,-0.00,49948.45,0.00,

